code,name,zip_code,prefecture_id,city,address,tel
10016,紫原店,8900082,46,鹿児島市,紫原5丁目24-1,0992137107
10030,町坪店,6700984,28,姫路市,町坪443-1,0792953191
10047,神郷店,7920882,38,新居浜市,又野1丁目1-1,0897671160
10085,宮野恋路店,7530011,35,山口市,宮野下1019-1,0839343015
10092,吉塚店,8120041,40,福岡市,博多区吉塚5丁目13-28,0926268427
10108,東温店,7910216,38,東温市,野田2丁目104-1,0899605223
10115,土庄店,7614121,37,小豆郡,土庄町淵崎1570-1,0879625670
10122,長船店,7014264,33,瀬戸内市,長船町土師220-1,0869268780
10139,但馬日高店,6695307,28,豊岡市,日高町松岡88,0796431050
10153,八王寺店,8600831,43,熊本市,中央区八王寺町2-13,0963775021
10160,水谷店,6512121,28,神戸市西区,水谷3丁目3-13,0789152015
10177,榛原店,6330241,29,宇陀市,榛原下井足1396-3,0745851877
10191,大江店,8620971,43,熊本市,中央区大江2丁目16-9,0962115760
10207,大宮店,6292502,26,京丹後市,大宮町河辺3139-1,0772689090
10214,宇美店,8112128,40,糟屋郡,宇美町宇美中央2丁目22-20,0929576026
10238,かわうち店,7310102,34,広島市,安佐南区川内5丁目31-16,0828316801
10245,西谷山店,8910117,46,鹿児島市,西谷山1丁目1-4,0992635201
10252,川南店,8891301,45,児湯郡,川南町川南13569-7,0983470045
10276,八田店,8130031,40,福岡市,東区八田2丁目39-24,0926638880
10283,望町店,7440072,35,下松市,望町2丁目5-29,0833483900
10290,沼南店,8000205,40,北九州市,小倉南区沼南町1丁目14-3,0934740231
10306,木の岡店,5200103,25,大津市,木の岡町51-17,0775773733
10313,唐津店,8470041,41,唐津市,千代田町2564-1,0955702525
10320,へそ店,5203031,25,栗東市,綣4丁目2-21,0775512565
10337,五條今井店,6370004,29,五條市,今井3丁目3-7,0747266471
10344,石原店,6200804,26,福知山市,石原2丁目13,0773201120
10351,久保店,5150044,24,松阪市,久保町1261,0598601820
10368,山川店,8910515,46,指宿市,山川小川1503,0993276788
10375,網野店,6293102,26,京丹後市,網野町下岡629,0772790011
10382,若葉店,8950063,46,薩摩川内市,若葉町4-50,0996211802
10399,人吉インター店,8680021,43,人吉市,鬼木町1014-1,0966260545
10405,岡垣吉木店,8114234,40,遠賀郡,岡垣町高倉654-1,0932811686
10412,三重店,8797105,44,豊後大野市,三重町芦刈481-79,0974249080
10429,井門店,7911114,38,松山市,井門町19-2,0899573022
10436,飯山店,7620082,37,丸亀市,飯山町川原923-1,0877980080
10443,八反田店,8618029,43,熊本市,東区西原1丁目22-64,0962136071
10467,松美町店,7530053,35,山口市,松美町2-80,0839013121
10474,片江店,8140142,40,福岡市,城南区片江4丁目16-34,0928740501
10481,丹波春日店,6694131,28,丹波市,春日町七日市623-1,0795740611
10498,名張西原店,5180603,24,名張市,西原町2620-3,0595672856
10504,英賀店,6728078,28,姫路市,飾磨区英賀乙21-2,0792315411
10511,糸貫店,5010406,21,本巣市,三橋5丁目45,0583200525
10528,西条中央店,7390025,34,東広島市,西条中央7丁目2-14,0824314115
10535,千代田店,7311533,34,山県郡,北広島町有田1033-1,0826727776
10542,久世店,7193201,33,真庭市,久世3295-5,0867427100
10559,吾田店,8870022,45,日南市,上平野町1丁目10-4,0987211530
10566,みやま高田店,8390215,40,みやま市,高田町濃施580,0944645002
10573,氷見店,7930072,38,西条市,氷見乙2027,0897577150
10580,樋脇店,8951202,46,薩摩川内市,樋脇町塔之原10834,0996210818
10597,玉島爪崎店,7100252,33,倉敷市,玉島爪崎935-1,0865255311
10603,三苫店,8110201,40,福岡市,東区三苫4丁目2-39,0926055351
10610,坂出元町店,7620045,37,坂出市,元町3丁目4-30,0877590050
10627,大田駅南店,6940064,32,大田市,大田町大田イ25-1,0854840770
10634,野方店,8190043,40,福岡市,西区野方1丁目3-10,0928948404
